Name,Channel,Start_day,Start_time,End_day,End_time,Frames,CD,Filter frame,Durations
NVR-CH06_S20210608-173117_E20210608-173202.mp4,6,2021-08-06,17:31:17,08/06/2021,17:32:02,441,0,FALSE,0:00:45
NVR-CH06_S20210609-111136_E20210609-111336.mp4,6,2021-09-06,11:11:36,09/06/2021,11:13:36,1201,0,TRUE,0:02:00
NVR-CH06_S20210608-115756_E20210608-115819.mp4,6,2021-08-06,11:57:56,08/06/2021,11:58:19,201,0,FALSE,0:00:23
NVR-CH06_S20210608-112822_E20210608-112924.mp4,6,2021-08-06,11:28:22,08/06/2021,11:29:24,641,0,FALSE,0:01:02
NVR-CH06_S20210608-174701_E20210608-174739.mp4,6,2021-08-06,17:47:01,08/06/2021,17:47:39,361,0,FALSE,0:00:38
NVR-CH06_S20210608-173100_E20210608-173124.mp4,6,2021-08-06,17:31:00,08/06/2021,17:31:24,241,0,FALSE,0:00:24
NVR-CH06_S20210609-085053_E20210609-085125.mp4,6,2021-09-06,8:50:53,09/06/2021,8:51:25,321,0,FALSE,0:00:32
NVR-CH06_S20210608-112929_E20210608-113357.mp4,6,2021-08-06,11:29:29,08/06/2021,11:33:57,2661,0,TRUE,0:04:28
NVR-CH06_S20210608-114858_E20210608-114938.mp4,6,2021-08-06,11:48:58,08/06/2021,11:49:38,381,0,FALSE,0:00:40
NVR-CH06_S20210609-113456_E20210609-113543.mp4,6,2021-09-06,11:34:56,09/06/2021,11:35:43,481,0,FALSE,0:00:47
NVR-CH06_S20210608-112708_E20210608-112828.mp4,6,2021-08-06,11:27:08,08/06/2021,11:28:28,801,0,FALSE,0:01:20
NVR-CH06_S20210609-182114_E20210609-182203.mp4,6,2021-09-06,18:21:14,09/06/2021,18:22:03,481,0,FALSE,0:00:49
NVR-CH06_S20210609-084539_E20210609-084616.mp4,6,2021-09-06,8:45:39,09/06/2021,8:46:16,361,0,FALSE,0:00:37
NVR-CH06_S20210608-173000_E20210608-173040.mp4,6,2021-08-06,17:30:00,08/06/2021,17:30:40,401,0,FALSE,0:00:40
NVR-CH06_S20210609-084956_E20210609-085058.mp4,6,2021-09-06,8:49:56,09/06/2021,8:50:58,641,0,FALSE,0:01:02
NVR-CH06_S20210609-113423_E20210609-113506.mp4,6,2021-09-06,11:34:23,09/06/2021,11:35:06,441,0,FALSE,0:00:43
